,citybike_index,empty_slots,free_bikes,num_parks,ave_dis_park,num_plygrd,ave_dis_plygrd,num_sr,ave_dis_sr,med_rating,med_review
45,45,1.0,2.1972245773362196,4.0,419.0,1.0986122886681098,347.0,0.6931471805599453,746.0,3.5,2.1972245773362196
46,46,18.0,1.6094379124341003,4.0,656.0,1.6094379124341003,478.0,0.0,,4.0,2.0794415416798357
47,47,14.0,0.0,3.0,512.0,1.791759469228055,451.0,0.6931471805599453,626.0,4.25,2.302585092994046
48,48,17.0,1.0986122886681098,3.0,280.6666666666667,1.791759469228055,366.8,0.6931471805599453,267.0,4.5,1.6094379124341003
49,49,13.0,1.0986122886681098,4.0,530.0,1.3862943611198906,334.3333333333333,0.6931471805599453,490.0,4.25,2.302585092994046
50,50,9.0,1.0986122886681098,9.0,531.5555555555555,0.0,,0.6931471805599453,236.0,4.5,2.70805020110221
51,51,11.0,0.0,6.0,523.3333333333334,0.6931471805599453,862.0,0.0,,2.75,4.412798293340635
52,52,14.0,1.0986122886681098,3.0,141.0,0.0,,0.6931471805599453,57.0,4.5,2.70805020110221
53,53,4.0,2.1972245773362196,4.0,585.5,0.6931471805599453,480.0,0.0,,2.75,4.412798293340635
54,54,6.0,2.6390573296152584,4.0,314.75,0.0,,0.6931471805599453,280.0,4.5,2.70805020110221
55,55,20.0,2.3978952727983707,3.0,482.6666666666667,0.6931471805599453,790.0,0.6931471805599453,267.0,4.25,1.252762968495368
56,56,5.0,2.70805020110221,5.0,495.2,0.6931471805599453,381.0,0.0,,4.25,1.252762968495368
57,57,9.0,1.3862943611198906,3.0,540.3333333333334,1.6094379124341003,508.0,0.6931471805599453,841.0,3.5,1.6094379124341003
58,58,14.0,1.0986122886681098,1.0,437.0,1.791759469228055,475.6,0.6931471805599453,437.0,3.5,1.252762968495368
59,59,6.0,2.302585092994046,3.0,810.0,0.0,,0.0,,3.75,2.917770732084279
60,60,9.0,1.3862943611198906,6.0,626.6666666666666,1.0986122886681098,542.5,0.0,,4.0,1.0986122886681098
61,61,4.0,1.3862943611198906,7.0,442.42857142857144,0.0,,1.0986122886681098,427.0,3.5,1.791759469228055
62,62,18.0,1.0986122886681098,6.0,527.5,0.0,,0.6931471805599453,847.0,3.5,1.791759469228055
63,63,3.0,2.5649493574615367,3.0,691.0,0.0,,1.0986122886681098,700.5,3.75,3.1986731175506815
64,64,7.0,2.0794415416798357,3.0,749.6666666666666,0.0,,1.0986122886681098,531.5,3.5,2.1972245773362196
65,65,3.0,2.6390573296152584,2.0,589.0,0.0,,0.0,,3.5,1.3862943611198906
66,66,12.0,1.791759469228055,6.0,337.1666666666667,1.0986122886681098,585.5,1.0986122886681098,449.5,3.5,1.3862943611198906
67,67,7.0,0.0,3.0,815.3333333333334,0.0,,0.6931471805599453,891.0,3.5,1.3862943611198906
68,68,1.0,2.3978952727983707,3.0,329.3333333333333,0.6931471805599453,413.0,0.0,,4.5,2.302585092994046
69,69,12.0,1.3862943611198906,6.0,435.5,0.6931471805599453,319.0,1.3862943611198906,312.6666666666667,3.75,2.0149030205422647
70,70,11.0,2.1972245773362196,2.0,626.0,1.0986122886681098,556.5,0.0,,4.5,2.6390573296152584
71,71,6.0,2.302585092994046,2.0,618.5,1.0986122886681098,625.0,0.0,,4.5,2.302585092994046
72,72,0.0,2.9444389791664403,3.0,608.6666666666666,0.0,,1.0986122886681098,509.5,3.5,3.044522437723423
